Title,Rent,Address,URL
"Short Term Lease, Cable/Satellite, Microwave",$1399,"465 Radio Court, Lawrenceville, GA,",https://atlanta.craigslist.org/atl/apa/d/atlanta-short-term-lease-cable/7108297023.html
"Plush Carpeting, Pet Friendly, Ceiling Fan",$1100,WOODSTOCK,https://atlanta.craigslist.org/atl/apa/d/peachtree-city-plush-carpeting-pet/7108296923.html
Your DREAM PLACE IS HERE!,$1100,"1313 Stone Mill Way Stone Mountain, GA",https://atlanta.craigslist.org/sat/apa/d/mcdonough-your-dream-place-is-here/7105824138.html
"Resort Style Saline Pool, BBQ Area, Lease Today",$1375,Brookhaven,https://atlanta.craigslist.org/wat/apa/d/atlanta-resort-style-saline-pool-bbq/7108295453.html
"Patio or Balcony, Schedule a Tour, Clubhouse",$1375,1313 Stone Mill Way Stone Mountain GA,https://atlanta.craigslist.org/wat/apa/d/atlanta-patio-or-balcony-schedule-tour/7108294231.html
Virtual Tour & Online Application! Do Everything From Home!,$1399,1313 Stone Mill Way Stone Mountain GA,https://atlanta.craigslist.org/sat/apa/d/mcdonough-virtual-tour-online/7101453278.html
"Ready for immediate move in, 1st floor 3 bedroom apartment home! Call Now for mo",$1335,Atlanta,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-ready-for-immediate-move/7108287063.html
Looking for A Bigger Place…Try our 3 bedroom!,$1335,Buckhead/**RESERVE AT LENOX PARK! Brilliance!!,https://atlanta.craigslist.org/sat/apa/d/mcdonough-looking-for-bigger-placetry/7108291748.html
"Soccer Ball Court, Black Appliances & Large Kitchens, Pet Park",$1265,Atlanta,https://atlanta.craigslist.org/wat/apa/d/stockbridge-soccer-ball-court-black/7103422208.html
Gorgeous Upgrade 3 Br house in East point,$1265,Clarkston,https://atlanta.craigslist.org/atl/apa/d/atlanta-gorgeous-upgrade-3-br-house-in/7108252827.html
"Comfortable Living at an Affordable Price, 3 Bedroom Apartment Home!",$1399,"150 Carrington Park Drive Gainesville, GA",https://atlanta.craigslist.org/sat/apa/d/atlanta-comfortable-living-at-an/7108272602.html
Tucker Square Apartment Homes-Virtual Tour Available,$1200,Greenbriar Mall/South Fulton,https://atlanta.craigslist.org/atl/apa/d/pine-lake-tucker-square-apartment-homes/7108286216.html
Sierra Terrace,$1200,"1313 Stone Mill Way Stone  Mountain,GA",https://atlanta.craigslist.org/atl/apa/d/atlanta-sierra-terrace/7108285557.html
3 Bedroom 2 Bath (Fully Furnished) $2000,$1376,Kennesaw,https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bedroom-2-bath-fully/7108245107.html
Fantastic Flowery Branch 3Br/2Ba Home ONLY $1745,$1376,"Atlanta, GA",https://atlanta.craigslist.org/nat/apa/d/flowery-branch-fantastic-flowery-branch/7108284979.html
"At Last, This is What You've Been Searching For!!",$1410,Greenbriar Mall,https://atlanta.craigslist.org/atl/apa/d/avondale-estates-at-last-this-is-what/7108282999.html
Older Couple Looking For House To Rent,$1410,"4975 Sugarloaf Parkway Lawrenceville, GA",https://atlanta.craigslist.org/sat/apa/d/mcdonough-older-couple-looking-for/7108270657.html
"GOChat Business Center, 2 Swimming Pools, 24 Hour Maintenance",$15911809,Stockbridge,https://atlanta.craigslist.org/sat/apa/d/mcdonough-gochat-business-center-2/7099117349.html
1 Month FREE! Spacious 3 Bedroom Available Now!,$15911809,Atlanta,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-month-free-spacious-3-bedroom/7108245616.html
"Professionally Managed, Garages Available, Clubhouse",$1455,DECATUR,https://atlanta.craigslist.org/eat/apa/d/redan-professionally-managed-garages/7108259314.html
SPECIALS FROM NOW TO JULY,$1455,Lithonia,https://atlanta.craigslist.org/atl/apa/d/atlanta-specials-from-now-to-july/7108247232.html
Amazing Three Bedroom Available,$1070,fayetteville,https://atlanta.craigslist.org/atl/apa/d/austell-amazing-three-bedroom-available/7108263977.html
Single family home for rent @ $1000 monthly,$1070,atlanta,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-single-family-home-for/7108262341.html
3 BR Apartment Home Available – Reserve Yours Before They’re Gone!,$1195,atlanta,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-3-br-apartment-home/7108195235.html
"Athletic facility with aerobics center, Dens, Redwood dry heat sauna",$1195,Norcross,https://atlanta.craigslist.org/nat/apa/d/woodstock-athletic-facility-with/7108253192.html
2 Bedroom Townhouse-Tucker Square Apartment Homes,$1099,Kennesaw,https://atlanta.craigslist.org/atl/apa/d/pine-lake-2-bedroom-townhouse-tucker/7108259054.html
"GOFit Fitness Center, Pet Friendly, Sand Volleyball Court",$1099,Stockbridge,https://atlanta.craigslist.org/wat/apa/d/duluth-gofit-fitness-center-pet/7099575843.html
HUGE THREE BEDROOM TOWNHOME ! PERFECT BROOKHAVEN LOCATION,$1145,"4420 Peachtree Road NE Brookhaven, GA",https://atlanta.craigslist.org/atl/apa/d/atlanta-huge-three-bedroom-townhome/7108255796.html
Tucker Square Apartment Homes-3 Bedroom Garden Special!!,$1145,Kennesaw,https://atlanta.craigslist.org/atl/apa/d/pine-lake-tucker-square-apartment-homes/7108254362.html
"Controlled Access Gate, Clothes Care Center, Jogging Trail",$1180,Lithonia,https://atlanta.craigslist.org/sat/apa/d/mcdonough-controlled-access-gate/7104910593.html
3 Bedroom Garden-Tucker Square Apartment Homes,$1180,"",https://atlanta.craigslist.org/atl/apa/d/pine-lake-3-bedroom-garden-tucker/7108248798.html
Sierra Terrace,$1100,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-sierra-terrace/7108244626.html
"2-4 B HOME, One b.a.t.h, garage, bbq grill",$1100,"",https://atlanta.craigslist.org/atl/apa/d/lawrenceville-2-4-home-one-bath-garage/7105489927.html
"Brushed nickel lighting fixtures, Package receiving, Pet bark park",$1180,"",https://atlanta.craigslist.org/nat/apa/d/roswell-brushed-nickel-lighting/7096794663.html
The most luxurious complete lifestyle you can imagine. World Class!,$1180,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-the-most-luxurious-complete/7108242365.html
"Professional, On-Site Management Team, Kitchen Pantry, Linen Closet",$1180,"",https://atlanta.craigslist.org/sat/apa/d/atlanta-professional-on-site-management/7108236123.html
"Raised Bathroom Vanities w/ Granite Countertops, Garden Tubs, Dog Park",$1180,"",https://atlanta.craigslist.org/wat/apa/d/atlanta-raised-bathroom-vanities/7095376478.html
"3 B_e_d Family home, Two BT, Huge Garage, A|C",$1180,"",https://atlanta.craigslist.org/nat/apa/d/lawrenceville-3-bed-family-home-two-bt/7105497939.html
AMAZING Move-in special @1500 Oak $399 3br available,$1180,"",https://atlanta.craigslist.org/eat/apa/d/clarkston-amazing-move-in-special-1500/7106329110.html
"Great value on last large 3x2 for $1250, call today!!!",$1305,"",https://atlanta.craigslist.org/nat/apa/d/gainesville-great-value-on-last-large/7108235304.html
"GoChat Business Center, Game Room with Billards Table, Pet Park",$1305,"",https://atlanta.craigslist.org/wat/apa/d/duluth-gochat-business-center-game-room/7094685063.html
Ask About Our Spring Special!,$2045,"",https://atlanta.craigslist.org/sat/apa/d/mcdonough-ask-about-our-spring-special/7106169108.html
Convenient kitchen appliances and in sink disposal,$2045,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-convenient-kitchen-appliances/7108183046.html
"Hardwood floors, Views, Range",$1940,"",https://atlanta.craigslist.org/wat/apa/d/atlanta-hardwood-floors-views-range/7100639636.html
Tucker Square Apartment Homes-3 Bedroom Garden,$1940,"",https://atlanta.craigslist.org/atl/apa/d/pine-lake-tucker-square-apartment-homes/7108226068.html
WE HAVE A HOME WAITING FOR YOU AT WALDEN RIDGE,$1470,"",https://atlanta.craigslist.org/nat/apa/d/kennesaw-we-have-home-waiting-for-you/7108217218.html
Beautifully renovated,$1470,"",https://atlanta.craigslist.org/sat/apa/d/atlanta-beautifully-renovated/7106961247.html
Convenient kitchen appliances and in sink disposal,$1310,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-convenient-kitchen-appliances/7108180999.html
"Disposal, Dishwasher, Freeway Access",$1310,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-disposal-dishwasher-freeway/7108218037.html
Huge 3 Bedroom available April 22nd,$15911809,"",https://atlanta.craigslist.org/nat/apa/d/lawrenceville-huge-3-bedroom-available/7108216019.html
"Gated Community, Lake Views, Pet Park",$15911809,"",https://atlanta.craigslist.org/wat/apa/d/stockbridge-gated-community-lake-views/7105835154.html
"2-3 B.e.d H_o_u_s_e, 2 B.T, Big Garage, yard",$15911809,"",https://atlanta.craigslist.org/eat/apa/d/lawrenceville-2-3-bed-house-2-bt-big/7105425152.html
"Washer dryer hook-ups, Pool & On-site Laundry Facilites",$15911809,"",https://atlanta.craigslist.org/atl/apa/d/smyrna-washer-dryer-hook-ups-pool-on/7108206209.html
THREE BEDROOM SPACIOUS APARTMENT AVAILABLE NOW!!,$1300,"",https://atlanta.craigslist.org/atl/apa/d/decatur-three-bedroom-spacious/7108204848.html
"Guest suite available, Outdoor kitchen with grilling station, Laundry",$1300,"",https://atlanta.craigslist.org/wat/apa/d/stockbridge-guest-suite-available/7098919499.html
"Jogging trail, Fireplace, Two inch blinds",$1775,"",https://atlanta.craigslist.org/wat/apa/d/douglasville-jogging-trail-fireplace/7108184974.html
DONT MISS OUT ON YOUR CHANCE IN A LUXARY HOME!! APPLY TODAY !!!,$1775,"",https://atlanta.craigslist.org/eat/apa/d/lithonia-dont-miss-out-on-your-chance/7108166371.html
"24-hr emergency maintenance, Updater moving partner, Scenic lake",$1320,"",https://atlanta.craigslist.org/wat/apa/d/lawrenceville-24-hr-emergency/7108189249.html
"Rent 3b/2b Furnished, Utilities included! 4 mi to Pinewood Studios",$1320,"",https://atlanta.craigslist.org/sat/apa/d/rent-3b-2b-furnished-utilities-included/7108201898.html
Renew Braelinn - Spacious Units Available Now!,$1281,"",https://atlanta.craigslist.org/sat/apa/d/peachtree-city-renew-braelinn-spacious/7101423983.html
Gorgeous One-story 3 Bedroom House ~!~don't Miss Out!,$1281,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-gorgeous-one-story-3-bedroom/7104014301.html
"3-BEDROOM AND 2-BATH, CLOSE TO EVERYTHING, AVAILABLE FOR RENT",$780,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-3-bedroom-and-2-bath-close-to/7100490376.html
Gracious 1437 Sq. Ft. square foot apartment in Atlanta,$780,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-gracious-1437-sq-ft-square-foot/7108196876.html
"Incredible Amenities, Fitness Center, Pet Friendly",$1010,"",https://atlanta.craigslist.org/nat/apa/d/norcross-incredible-amenities-fitness/7108195246.html
Best 3 Bedroom in Kennesaw!,$1010,"",https://atlanta.craigslist.org/nat/apa/d/kennesaw-best-3-bedroom-in-kennesaw/7108194658.html
"Pet Friendly, Leasing Now, Stylish Features",$1070,"",https://atlanta.craigslist.org/sat/apa/d/rex-pet-friendly-leasing-now-stylish/7108182729.html
Jaw-dropping three bedroom,$1070,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-jaw-dropping-three-bedroom/7108180723.html
SPACIOUS 3 BEDROOM 2 BATHROOM APARTMENT AVAILABLE!,$1490,"",https://atlanta.craigslist.org/atl/apa/d/atlanta-spacious-3-bedroom-2-bathroom/7106259022.html
3 BDRM FULLY RENOVATED UNIT!!!,$1490,"",https://atlanta.craigslist.org/atl/apa/d/douglasville-3-bdrm-fully-renovated-unit/7108179242.html
3 BEDROOMS FULLY RENOVATED UNITS!!!!!,$2000,"",https://atlanta.craigslist.org/atl/apa/d/douglasville-3-bedrooms-fully-renovated/7108178653.html
The Mill at Chastain,$2000,"",https://atlanta.craigslist.org/nat/apa/d/kennesaw-the-mill-at-chastain/7108178476.html
CHECK OUT OUR VIRTUAL TOUR!! APPLY FOR YOUR DREAM HOME TODAY!!,$1745,"",https://atlanta.craigslist.org/eat/apa/d/lithonia-check-out-our-virtual-tour/7108146567.html
"SIMPLE AS ONE, TWO, THREE!",$1210,MCDONOUGH,https://atlanta.craigslist.org/sat/apa/d/mcdonough-simple-as-one-two-three/7108173082.html
WANT A GREAT PLACE TO LIVE?,$1210,MCDONOUGH,https://atlanta.craigslist.org/sat/apa/d/mcdonough-want-great-place-to-live/7108169965.html
"Renew Braelinn - Specials, Specials, Specials",$1210,PEACHTREE CTY,https://atlanta.craigslist.org/sat/apa/d/peachtree-city-renew-braelinn-specials/7105231322.html
APPLY TODAY AND MOVE IN ASAP!! HARVARD PLACE IS WAITING FOR YOU!,$1210,Lithonia,https://atlanta.craigslist.org/eat/apa/d/lithonia-apply-today-and-move-in-asap/7108130726.html
"3 B_D_R_M H_O_M_E, 2 B.a.t.h, 1 car Garage, A|C",$1154,Atlanta,https://atlanta.craigslist.org/eat/apa/d/lawrenceville-3-bdrm-home-2-bath-1-car/7105450716.html
Visit us today! Take a virtual tour on our website!!,$1154,Sandy Springs,https://atlanta.craigslist.org/nat/apa/d/atlanta-visit-us-today-take-virtual/7108152037.html
THE BIRDS ARE SINGING AND IT'S SPRING!,$1310,MCDONOUGH,https://atlanta.craigslist.org/sat/apa/d/mcdonough-the-birds-are-singing-and-its/7108158410.html
"24-Hour Cardio Center, Package Lockers, Pool Views",$1310,Marietta,https://atlanta.craigslist.org/wat/apa/d/atlanta-24-hour-cardio-center-package/7101204776.html
"Controlled Access, Playground, Hard Surface Floors",$553,MCDONOUGH,https://atlanta.craigslist.org/nat/apa/d/marietta-controlled-access-playground/7099192078.html
3 BEDROOM IS AVAILABLE IMMEDIATELY!,$553,Lithonia,https://atlanta.craigslist.org/sat/apa/d/mcdonough-3-bedroom-is-available/7108142636.html
YOU'RE ONE STEP CLOSER TO YOUR DREAM HOME!! APPLY TODAY!!!,$1815,Lithonia,https://atlanta.craigslist.org/eat/apa/d/lithonia-youre-one-step-closer-to-your/7108117715.html
TIME FOR A FRESH START!! HARVARD PLACE IS THE PLACE FOR YOU!!,$1815,Vine City,https://atlanta.craigslist.org/eat/apa/d/lithonia-time-for-fresh-start-harvard/7108108242.html
"On-Site Maintenance, Built-In Microwaves, Resort-Style Swimming Pool",$1210,Norcross,https://atlanta.craigslist.org/wat/apa/d/atlanta-on-site-maintenance-built-in/7108139497.html
"Ceiling Fan, Perfect Location, Professionally Managed",$1210,College Park,https://atlanta.craigslist.org/nat/apa/d/norcross-ceiling-fan-perfect-location/7108138599.html
Love Where You Live! We can get you into your NEW PLACE ASAP!,$2271,Stockbridge,https://atlanta.craigslist.org/atl/apa/d/atlanta-love-where-you-live-we-can-get/7094387491.html
"En Suites, Black Appliances & Large Kitchens, Lake Views",$2271,Fairburn,https://atlanta.craigslist.org/wat/apa/d/stockbridge-en-suites-black-appliances/7108101529.html
"Leasing Now, Storage Units Available, Fitness Center",$1350,Stockbridge,https://atlanta.craigslist.org/atl/apa/d/union-city-leasing-now-storage-units/7108133912.html
"Individual Garages, Short Term-Lease  6 Months only, Pet Park",$1350,Atlanta,https://atlanta.craigslist.org/wat/apa/d/stockbridge-individual-garages-short/7102384993.html
Spring in to Action for Our Luxurious Homes!,$1210,Lithonia,https://atlanta.craigslist.org/sat/apa/d/mcdonough-spring-in-to-action-for-our/7106215461.html
1 Month FREE! Spacious 3 Bedroom Available Now!,$1210,Lithonia,https://atlanta.craigslist.org/atl/apa/d/atlanta-1-month-free-spacious-3-bedroom/7104926609.html
"Air Conditioner, Range, Disability Access",$1310,"150 Carrington Park Drive Gainesville, GA",https://atlanta.craigslist.org/atl/apa/d/smyrna-air-conditioner-range-disability/7106811803.html
WE ARE HERE FOR YOU!!! TAKE A VIRTUAL TOUR OF YOUR NEW HOME!,$1310,Sandy Springs,https://atlanta.craigslist.org/eat/apa/d/lithonia-we-are-here-for-you-take/7108112328.html
SEARCH NO MORE!! HARVARD PLACE HAS IT ALL!! APPLY ONLINE TODAY!!,$1310,Lithonia,https://atlanta.craigslist.org/eat/apa/d/lithonia-search-no-more-harvard-place/7108103405.html
Last large 3 bed 2 bath hurry call today for great savings !!!,$1310,O4W Inman Park,https://atlanta.craigslist.org/nat/apa/d/gainesville-last-large-3-bed-2-bath/7108121130.html
"Spacious 1, 2, & 3-Bedroom Floor Plans, Spin Studio, Linen Closet",$1800,Stockbridge,https://atlanta.craigslist.org/sat/apa/d/atlanta-spacious-bedroom-floor-plans/7106384270.html
Limitless Style & Unreal Service,$1800,"100 Woodiron Drive Duluth, GA",https://atlanta.craigslist.org/nat/apa/d/atlanta-limitless-style-unreal-service/7103122369.html
PEACEFUL SERENE LAKE WITH GORGEOUS SCENERY!!! APPLY TODAY!!,$1258,"Riverdale, GA",https://atlanta.craigslist.org/eat/apa/d/lithonia-peaceful-serene-lake-with/7108097559.html
Walkable Beltline Bungalow 3/2 Wheelchair Access Old Fourth Ward,$1258,Norcross,https://atlanta.craigslist.org/atl/apa/d/atlanta-walkable-beltline-bungalow-3-2/7095767737.html
"Fun in the Sun Playground, Hard Surface Floors, Internet Cafe",$1205,Norcross,https://atlanta.craigslist.org/wat/apa/d/rex-fun-in-the-sun-playground-hard/7105813521.html
"Additional Storage, Lighted Sports Court, Disposal, Laundry, Cable",$1205,Norcross,https://atlanta.craigslist.org/nat/apa/d/buford-additional-storage-lighted/7108112533.html
A spacious 3 bedroom with a beautiful view!,$1281,Winder,https://atlanta.craigslist.org/nat/apa/d/duluth-spacious-3-bedroom-with/7108111400.html
Calling All Apartment Hunters! Your hunt ends HERE.,$1281,Wood Creek Apartments,https://atlanta.craigslist.org/sat/apa/d/riverdale-calling-all-apartment-hunters/7108110871.html
Renew Braelinn - Apply from home,$1590,Lithonia,https://atlanta.craigslist.org/sat/apa/d/peachtree-city-renew-braelinn-apply/7106338721.html
KRC Hilltops,$1590,Winder,https://atlanta.craigslist.org/eat/apa/d/norcross-krc-hilltops/7096261519.html
KRC Hilltops March Specials!,$1281,"Stockbridge, GA",https://atlanta.craigslist.org/eat/apa/d/norcross-krc-hilltops-march-specials/7095776793.html
KRC Hilltops 3Bed2Bath,$1281,Winder,https://atlanta.craigslist.org/eat/apa/d/norcross-krc-hilltops-3bed2bath/7095315118.html
"Resort-Style Swimming Pool, Linen Closet, Children's Playground",$1203,"Griffin, GA",https://atlanta.craigslist.org/sat/apa/d/atlanta-resort-style-swimming-pool/7103464247.html
"GoChat Business Center, Game Room with Billards Table, Pet Park",$1203,"Griffin, GA",https://atlanta.craigslist.org/atl/apa/d/duluth-gochat-business-center-game-room/7106177680.html
WOOT! This Completely Electric Floor Plan is the Bomb. NO gas bill!,$1335,"Smyrna, GA",https://atlanta.craigslist.org/atl/apa/d/pine-lake-woot-this-completely-electric/7108095858.html
Brookwood Townhomes the best place to call home in Winder,$1335,Lithonia,https://atlanta.craigslist.org/nat/apa/d/winder-brookwood-townhomes-the-best/7108087183.html
LED lighting throughout property/very well lit to improve visibility,$1425,Atlanta,https://atlanta.craigslist.org/nat/apa/d/roswell-led-lighting-throughout/7108091969.html
ONLY ONE THREE BEDROOM AVAILABLE!! DONT MISS OUT!! APPLY TODAY!,$1425,East Point,https://atlanta.craigslist.org/eat/apa/d/lithonia-only-one-three-bedroom/7108068091.html
Brookwood Townhomes the best place to call home in Winder,$1310,jonesboro,https://atlanta.craigslist.org/nat/apa/d/winder-brookwood-townhomes-the-best/7108088940.html
"3 Bedroom, 2 Bathroom Apartments !!!",$1310,Lawrenceville,https://atlanta.craigslist.org/sat/apa/d/stockbridge-3-bedroom-2-bathroom/7108091228.html
